relative_path,category,filename,size_bytes,modified_utc,years_in_filename,has_post_mz,same_basename_count,audience,display_title,icd10_primary,icd_count,audience_confidence,protocol_kind,scope_label_ru
minzdrav_protocols/akusherstvo-ginekologiya/КП_Медицинское_наблюдение_и_оказание_медицинской_помощи_женщинам_в_акушерстве_и_гинекологии_пост_МЗ_19.02.2018_№_17.pdf,akusherstvo-ginekologiya,КП_Медицинское_наблюдение_и_оказание_медицинской_помощи_женщинам_в_акушерстве_и_гинекологии_пост_МЗ_19.02.2018_№_17.pdf,1717154,2026-05-30T13:52:27Z,2018,yes,1,adult,Медицинское наблюдение и оказание медицинской помощи женщинам в акушерстве и гинекологии пост. МЗ 19.02.2018 №17,O26.8|N88.3|O23.9|O36.0|O99.1|N87.2|N95.2|N95.3|N60|N95.1|D06|D28,276,body_text_pregnancy,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/akusherstvo-ginekologiya/КП_Меднаблюдение_и_оказание_медпомощи_женщинам_с_резус-иммунизацией_и_другими_формами_изоиммунизации_пост_МЗ_2022_128.pdf,akusherstvo-ginekologiya,КП_Меднаблюдение_и_оказание_медпомощи_женщинам_с_резус-иммунизацией_и_другими_формами_изоиммунизации_пост_МЗ_2022_128.pdf,481997,2026-05-30T13:52:27Z,2022,yes,1,pediatric,Меднаблюдение и оказание медпомощи женщинам с резус-иммунизацией и другими формами изоиммунизации пост. МЗ 2022 128,P55|P55.0|P55.1|P55.8|P55.9,5,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/akusherstvo-ginekologiya/КП_Оказание_медицинской_помощи_в_неонатологии_постановление_МЗ_18042022_34.pdf,akusherstvo-ginekologiya,КП_Оказание_медицинской_помощи_в_неонатологии_постановление_МЗ_18042022_34.pdf,1344349,2026-05-30T13:52:28Z,2022,yes,3,pediatric,Оказание медицинской помощи в неонатологии постановление МЗ 18042022 34,B19,1,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/akusherstvo-ginekologiya/КП_Оказание_медицинской_помощи_женщинам_послеоперационным_рубцом_матки_пост_МЗ_2024_161.pdf,akusherstvo-ginekologiya,КП_Оказание_медицинской_помощи_женщинам_послеоперационным_рубцом_матки_пост_МЗ_2024_161.pdf,267145,2026-05-30T13:52:28Z,2024,yes,1,pediatric,Оказание медицинской помощи женщинам послеоперационным рубцом матки пост. МЗ 2024 161,N99.8|O34.2|O75.7,3,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/akusherstvo-ginekologiya/КП_Оказание_медицинской_помощи_женщинам_при_искусственном_прерывании_беременности_пост_МЗ_2024_176.pdf,akusherstvo-ginekologiya,КП_Оказание_медицинской_помощи_женщинам_при_искусственном_прерывании_беременности_пост_МЗ_2024_176.pdf,241905,2026-05-30T13:52:29Z,2024,yes,1,adult,Оказание медицинской помощи женщинам при искусственном прерывании беременности пост. МЗ 2024 176,,0,body_text_pregnancy,procedural,Процедурный КП (прерывание беременности)
minzdrav_protocols/akusherstvo-ginekologiya/КП_Оказание_медицинской_помощи_женщинам_репродуктивного_возраста_с_низкорослостью_обусловленной_генетическими_синдромами_пост_МЗ_2025_60.pdf,akusherstvo-ginekologiya,КП_Оказание_медицинской_помощи_женщинам_репродуктивного_возраста_с_низкорослостью_обусловленной_генетическими_синдромами_пост_МЗ_2025_60.pdf,365151,2026-05-30T13:52:29Z,2025,yes,1,pediatric,Оказание медицинской помощи женщинам репродуктивного возраста с низкорослостью обусловленной генетическими синдромами пост. МЗ 2025 60,Q87.1|Q96|Q97|E23.0|E20.1|E34.3|Q74.0|Q77.4|Q77.8|Q77.9|Q78|Q65,15,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/akusherstvo-ginekologiya/КП_Оказание_медицинской_помощи_женщинам_с_послеродовыми_кровотечениями_в_стационарных_условиях_пост_МЗ_01042022_24.pdf,akusherstvo-ginekologiya,КП_Оказание_медицинской_помощи_женщинам_с_послеродовыми_кровотечениями_в_стационарных_условиях_пост_МЗ_01042022_24.pdf,494557,2026-05-30T13:52:30Z,2022,yes,1,mixed,Оказание медицинской помощи женщинам с послеродовыми кровотечениями в стационарных условиях пост. МЗ 01042022 24,O72|O72.0|O72.1|O72.2|O72.3,5,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/akusherstvo-ginekologiya/КП_Оказание_медицинской_помощи_женщинам_с_приращением_плаценты_пост_МЗ_01042022_24.pdf,akusherstvo-ginekologiya,КП_Оказание_медицинской_помощи_женщинам_с_приращением_плаценты_пост_МЗ_01042022_24.pdf,230791,2026-05-30T13:52:30Z,2022,yes,1,pediatric,Оказание медицинской помощи женщинам с приращением плаценты пост. МЗ 01042022 24,O43.2,1,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/akusherstvo-ginekologiya/КП_Оказание_медицинской_помощи_пациентам_взр_и_детс_население_с_антифосфолипидным_синдромом_пост_МЗ_09.03.2023_40.pdf,akusherstvo-ginekologiya,КП_Оказание_медицинской_помощи_пациентам_взр_и_детс_население_с_антифосфолипидным_синдромом_пост_МЗ_09.03.2023_40.pdf,222590,2026-05-30T13:52:31Z,2023,yes,2,mixed,Оказание медицинской помощи пациентам взр и детс население с антифосфолипидным синдромом пост. МЗ 09.03.2023 40,D68.6,1,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/akusherstvo-ginekologiya/КП_Пренатальная_диагностика_и_внутриутробное_лечение_аномалий_плода_приводящих_к_диспропорции_пост_МЗ_2024_126.pdf,akusherstvo-ginekologiya,КП_Пренатальная_диагностика_и_внутриутробное_лечение_аномалий_плода_приводящих_к_диспропорции_пост_МЗ_2024_126.pdf,146192,2026-05-30T13:52:31Z,2024,yes,2,pediatric,Пренатальная диагностика и внутриутробное лечение аномалий плода приводящих к диспропорции пост. МЗ 2024 126,O33|O35,2,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/akusherstvo-ginekologiya/пост._МЗ_РБ_от 08.04.2026_№29_КП_лечение_бесплодия_с_применением_ВРТ_оф. опубл.pdf,akusherstvo-ginekologiya,пост._МЗ_РБ_от 08.04.2026_№29_КП_лечение_бесплодия_с_применением_ВРТ_оф. опубл.pdf,168249,2026-05-30T13:52:32Z,2026,no,1,adult,пост. МЗ РБ от 08.04.2026 №29 КП лечение бесплодия с применением ВРТ,E28.3|E28.8|F52.2|F52.5|N48.4|N46|N97|N97.0|N97.1|N97.2|N97.3|N97.4,26,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/allergologiya-immunologiya/КП_Диагностика_и_лечение_взр_население_с_бронхиальной_астмой_пост_МЗ_2024_84.pdf,allergologiya-immunologiya,КП_Диагностика_и_лечение_взр_население_с_бронхиальной_астмой_пост_МЗ_2024_84.pdf,635545,2026-05-30T13:52:32Z,2024,yes,2,adult,Диагностика и лечение взрослое население с бронхиальной астмой пост. МЗ 2024 84,J46,1,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/allergologiya-immunologiya/КП_Диагностика_и_лечение_детей_с_онкологическими_и_гематологическими_заболеваниями_пост_МЗ_РБ_05.12.2022_113.pdf,allergologiya-immunologiya,КП_Диагностика_и_лечение_детей_с_онкологическими_и_гематологическими_заболеваниями_пост_МЗ_РБ_05.12.2022_113.pdf,1380439,2026-05-30T13:52:33Z,2022,yes,3,pediatric,Диагностика и лечение детей с онкологическими и гематологическими заболеваниями пост. МЗ РБ 05.12.2022 113,Q22|P13|D69.3|D61.0|D61|Z94.8|Q31|Q32|Q23|Q21|P21|Q36,25,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/allergologiya-immunologiya/КП_Диагностика_и_лечение_пациентов_д-нас_с_аллергическим_ринитом_пост_МЗ_2025_38.pdf,allergologiya-immunologiya,КП_Диагностика_и_лечение_пациентов_д-нас_с_аллергическим_ринитом_пост_МЗ_2025_38.pdf,209528,2026-05-30T13:52:33Z,2025,yes,3,pediatric,Диагностика и лечение пациентов детское население с аллергическим ринитом пост. МЗ 2025 38,J30.1|J30.2|J30.3|J30.4,4,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/allergologiya-immunologiya/КП_Диагностика_и_лечение_пациентов_д-нас_с_бронхиальной_астмой_пост_МЗ_2025_38.pdf,allergologiya-immunologiya,КП_Диагностика_и_лечение_пациентов_д-нас_с_бронхиальной_астмой_пост_МЗ_2025_38.pdf,1567618,2026-05-30T13:52:34Z,2025,yes,3,pediatric,Диагностика и лечение пациентов детское население с бронхиальной астмой пост. МЗ 2025 38,J45.0|J45.1|J45.8|J45.9|J46,5,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/allergologiya-immunologiya/КП_Диагностика_и_лечение_пациентов_д-нас_с_крапивницей_и_ангионевротическим_отеком_пост_МЗ_2025_38.pdf,allergologiya-immunologiya,КП_Диагностика_и_лечение_пациентов_д-нас_с_крапивницей_и_ангионевротическим_отеком_пост_МЗ_2025_38.pdf,174355,2026-05-30T13:52:34Z,2025,yes,3,pediatric,Диагностика и лечение пациентов детское население с крапивницей и ангионевротическим отеком пост. МЗ 2025 38,L50|L50.0|L50.1|L50.2|L50.3|L50.4|L50.5|L50.6|L50.8|L50.9|T78.3,11,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/allergologiya-immunologiya/КП_Диагностика_и_лечение_пациентов_с_первичными_иммунодефицитами_(взрос_население)»_пост_МЗ_РБ_11.10.2022_102).pdf,allergologiya-immunologiya,КП_Диагностика_и_лечение_пациентов_с_первичными_иммунодефицитами_(взрос_население)»_пост_МЗ_РБ_11.10.2022_102).pdf,568581,2026-05-30T13:52:35Z,2022,yes,3,adult,Диагностика и лечение пациентов с первичными иммунодефицитами (взрос население) пост. МЗ РБ 11.10.2022 102),D82.8|D80|D82.4|D76.1|D82.0|D69.4|D76.3|D72.8|D80.0|D76|D89.8|D84.8,49,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/allergologiya-immunologiya/КП_Диагностика_лечение_пациентов_дет_нас_иммуновоспалительными_ревматическими_заболеваниями_пост_МЗ_2024_167.pdf,allergologiya-immunologiya,КП_Диагностика_лечение_пациентов_дет_нас_иммуновоспалительными_ревматическими_заболеваниями_пост_МЗ_2024_167.pdf,414462,2026-05-30T13:52:35Z,2024,yes,2,pediatric,Диагностика лечение пациентов детское население иммуновоспалительными ревматическими заболеваниями пост. МЗ 2024 167,B27|B19|M08.1|M33.0|M34|M32|M08|M08.0|M08.2|M08.3|M08.4|M08.8,14,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/allergologiya-immunologiya/КП_Диагностика_лечение_пациентов_с_первичными_иммунодефицитами_детс_нас_пост_МЗ_2024_98.pdf,allergologiya-immunologiya,КП_Диагностика_лечение_пациентов_с_первичными_иммунодефицитами_детс_нас_пост_МЗ_2024_98.pdf,815343,2026-05-30T13:52:36Z,2024,yes,3,pediatric,Диагностика лечение пациентов с первичными иммунодефицитами детское население пост. МЗ 2024 98,D82.8|D89.8|D80.5|D84.8|D80.0|D80.1|D81.0|D81.1|D81.3|D81.6|D81.7|D81.8,49,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/allergologiya-immunologiya/КП_Диагностика_лечение_системной_токсичности_при_применении_местных_анестетиков_пост_МЗ_2017_50.pdf,allergologiya-immunologiya,КП_Диагностика_лечение_системной_токсичности_при_применении_местных_анестетиков_пост_МЗ_2017_50.pdf,274378,2026-05-30T13:52:37Z,2017,yes,2,any,Диагностика лечение системной токсичности при применении местных анестетиков пост. МЗ 2017 50,,0,default,clinical_pending,Клинический КП (МКБ не извлечён из текста)
minzdrav_protocols/allergologiya-immunologiya/КП_Оказание_экстренной_неотложной_медпомощи_пациентам_дет_возраста_пост_МЗ_17.08.2023_118.pdf,allergologiya-immunologiya,КП_Оказание_экстренной_неотложной_медпомощи_пациентам_дет_возраста_пост_МЗ_17.08.2023_118.pdf,466876,2026-05-30T13:52:37Z,2023,yes,5,pediatric,Оказание экстренной неотложной медпомощи пациентам дет возраста пост. МЗ 17.08.2023 118,T78.0|T78.2|T80.5|T81.1|T88.2|T88.6|T88.7|L50|L50.0|L50.1|L50.2|L50.3,19,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/allergologiya-immunologiya/КП_Трансплантация_гемопоэтических_стволовых_клеток_пациентам_дет-нас_с_первичными_иммунодефицитами»_пост_МЗ_2025_151.pdf,allergologiya-immunologiya,КП_Трансплантация_гемопоэтических_стволовых_клеток_пациентам_дет-нас_с_первичными_иммунодефицитами»_пост_МЗ_2025_151.pdf,342377,2026-05-30T13:52:38Z,2025,yes,5,pediatric,Трансплантация гемопоэтических стволовых клеток пациентам детское население с первичными иммунодефицитами пост. МЗ 2025 151,B19,2,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/anesteziologiya-reanimatologiya/КП Ранняя диагностика и интенсивная терапия острого респираторного дистресс-синдрома 01.06.2017 № 48.pdf,anesteziologiya-reanimatologiya,КП Ранняя диагностика и интенсивная терапия острого респираторного дистресс-синдрома 01.06.2017 № 48.pdf,283829,2026-05-30T13:52:38Z,2017,no,4,mixed,Ранняя диагностика и интенсивная терапия острого респираторного дистресс-синдрома 01.06.2017 №48,J80,1,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/anesteziologiya-reanimatologiya/КП оказания скорой неотложной медицинской помощи взрослому населению 30.09.2010 N1030.pdf,anesteziologiya-reanimatologiya,КП оказания скорой неотложной медицинской помощи взрослому населению 30.09.2010 N1030.pdf,952414,2026-05-30T13:52:39Z,2010,no,1,adult,оказания скорой неотложной медицинской помощи взрослому населению 30.09.2010 N1030,,0,index_csv,clinical_pending,Клинический КП (МКБ не извлечён из текста)
minzdrav_protocols/anesteziologiya-reanimatologiya/КП предоперационной диагностики мониторирования и выбора метода анестезии 08.06.2011 №615.pdf,anesteziologiya-reanimatologiya,КП предоперационной диагностики мониторирования и выбора метода анестезии 08.06.2011 №615.pdf,1132435,2026-05-30T13:52:39Z,2011,no,1,any,предоперационной диагностики мониторирования и выбора метода анестезии 08.06.2011 №615,,0,default,clinical_pending,Клинический КП (МКБ не извлечён из текста)
minzdrav_protocols/anesteziologiya-reanimatologiya/КП_Анестезиологическое_обеспечение_хирургических_вмешательств_пост_МЗ_19.04.2023_57.pdf,anesteziologiya-reanimatologiya,КП_Анестезиологическое_обеспечение_хирургических_вмешательств_пост_МЗ_19.04.2023_57.pdf,756982,2026-05-30T13:52:40Z,2023,yes,2,any,Анестезиологическое обеспечение хирургических вмешательств пост. МЗ 19.04.2023 57,N02,1,default,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/anesteziologiya-reanimatologiya/КП_Диагностика_и_лечение_пациентов_д-нас_с_аллергическим_ринитом_пост_МЗ_2025_38.pdf,anesteziologiya-reanimatologiya,КП_Диагностика_и_лечение_пациентов_д-нас_с_аллергическим_ринитом_пост_МЗ_2025_38.pdf,209528,2026-05-30T13:52:41Z,2025,yes,3,pediatric,Диагностика и лечение пациентов детское население с аллергическим ринитом пост. МЗ 2025 38,J30.1|J30.2|J30.3|J30.4,4,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/anesteziologiya-reanimatologiya/КП_Диагностика_и_лечение_пациентов_д-нас_с_бронхиальной_астмой_пост_МЗ_2025_38.pdf,anesteziologiya-reanimatologiya,КП_Диагностика_и_лечение_пациентов_д-нас_с_бронхиальной_астмой_пост_МЗ_2025_38.pdf,1567618,2026-05-30T13:52:41Z,2025,yes,3,pediatric,Диагностика и лечение пациентов детское население с бронхиальной астмой пост. МЗ 2025 38,J45.0|J45.1|J45.8|J45.9|J46,5,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/anesteziologiya-reanimatologiya/КП_Диагностика_и_лечение_пациентов_д-нас_с_крапивницей_и_ангионевротическим_отеком_пост_МЗ_2025_38.pdf,anesteziologiya-reanimatologiya,КП_Диагностика_и_лечение_пациентов_д-нас_с_крапивницей_и_ангионевротическим_отеком_пост_МЗ_2025_38.pdf,174355,2026-05-30T13:52:42Z,2025,yes,3,pediatric,Диагностика и лечение пациентов детское население с крапивницей и ангионевротическим отеком пост. МЗ 2025 38,L50|L50.0|L50.1|L50.2|L50.3|L50.4|L50.5|L50.6|L50.8|L50.9|T78.3,11,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/anesteziologiya-reanimatologiya/КП_Диагностика_лечение_пациентов_взр_нас_с_закрытой_травмой_грудной_клетки_в_стац_условиях_пост_МЗ_2023_182.pdf,anesteziologiya-reanimatologiya,КП_Диагностика_лечение_пациентов_взр_нас_с_закрытой_травмой_грудной_клетки_в_стац_условиях_пост_МЗ_2023_182.pdf,214413,2026-05-30T13:52:42Z,2023,yes,2,adult,Диагностика лечение пациентов взрослое население с закрытой травмой грудной клетки в стационарных условияхиях пост. МЗ 2023 182,S20|S29,2,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/anesteziologiya-reanimatologiya/КП_Диагностика_лечение_пациентов_взр_нас_с_острой_кишечной_непроходимостью_в_стац_условиях_пост_МЗ_2023_182.pdf,anesteziologiya-reanimatologiya,КП_Диагностика_лечение_пациентов_взр_нас_с_острой_кишечной_непроходимостью_в_стац_условиях_пост_МЗ_2023_182.pdf,194391,2026-05-30T13:52:43Z,2023,yes,3,adult,Диагностика лечение пациентов взрослое население с острой кишечной непроходимостью в стационарных условияхиях пост. МЗ 2023 182,,0,index_csv,clinical_pending,Клинический КП (МКБ не извлечён из текста)
minzdrav_protocols/anesteziologiya-reanimatologiya/КП_Диагностика_лечение_пациентов_взр_нас_с_острым_аппендицитом_в_стац_условиях_пост_МЗ_2023_182.pdf,anesteziologiya-reanimatologiya,КП_Диагностика_лечение_пациентов_взр_нас_с_острым_аппендицитом_в_стац_условиях_пост_МЗ_2023_182.pdf,176734,2026-05-30T13:52:43Z,2023,yes,3,adult,Диагностика лечение пациентов взрослое население с острым аппендицитом в стационарных условияхиях пост. МЗ 2023 182,,0,index_csv,clinical_pending,Клинический КП (МКБ не извлечён из текста)
minzdrav_protocols/anesteziologiya-reanimatologiya/КП_Диагностика_лечение_пациентов_взр_нас_с_острым_панкреатитом_в_стац_условиях_пост_МЗ_2023_182.pdf,anesteziologiya-reanimatologiya,КП_Диагностика_лечение_пациентов_взр_нас_с_острым_панкреатитом_в_стац_условиях_пост_МЗ_2023_182.pdf,192282,2026-05-30T13:52:43Z,2023,yes,3,adult,Диагностика лечение пациентов взрослое население с острым панкреатитом в стационарных условияхиях пост. МЗ 2023 182,K86.1,1,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/anesteziologiya-reanimatologiya/КП_Диагностика_лечение_пациентов_взр_нас_с_острым_холециститом_в_стац_условиях_пост_МЗ_2023_182.pdf,anesteziologiya-reanimatologiya,КП_Диагностика_лечение_пациентов_взр_нас_с_острым_холециститом_в_стац_условиях_пост_МЗ_2023_182.pdf,183211,2026-05-30T13:52:44Z,2023,yes,3,adult,Диагностика лечение пациентов взрослое население с острым холециститом в стационарных условияхиях пост. МЗ 2023 182,K81.9|N30.0,2,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/anesteziologiya-reanimatologiya/КП_Диагностика_лечение_пациентов_взр_нас_с_острыми_гастродуоденальными_кровотечениями_в_стац_условиях_пост_МЗ_2023_182.pdf,anesteziologiya-reanimatologiya,КП_Диагностика_лечение_пациентов_взр_нас_с_острыми_гастродуоденальными_кровотечениями_в_стац_условиях_пост_МЗ_2023_182.pdf,172848,2026-05-30T13:52:44Z,2023,yes,3,adult,Диагностика лечение пациентов взрослое население с острыми гастродуоденальными кровотечениями в стационарных условияхиях пост. МЗ 2023 182,I85.0|I86.4|K27.0|K27.4|K28.0|K28.4|S20|S29,9,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/anesteziologiya-reanimatologiya/КП_Диагностика_лечение_пациентов_взр_нас_с_перфоративной_гастродуоденальной_язвой_в_стац_условиях_пост_МЗ_2023_182.pdf,anesteziologiya-reanimatologiya,КП_Диагностика_лечение_пациентов_взр_нас_с_перфоративной_гастродуоденальной_язвой_в_стац_условиях_пост_МЗ_2023_182.pdf,172518,2026-05-30T13:52:45Z,2023,yes,3,adult,Диагностика лечение пациентов взрослое население с перфоративной гастродуоденальной язвой в стационарных условияхиях пост. МЗ 2023 182,K25.1|K25.2|K25.5|K25.6|K26.1|K26.2|K26.5|K26.6|K27.1|K27.2|K27.5|K27.6,16,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/anesteziologiya-reanimatologiya/КП_Диагностика_лечение_пациентов_взр_нас_с_травмой_живота_в_стац_условиях_пост_МЗ_2023_182.pdf,anesteziologiya-reanimatologiya,КП_Диагностика_лечение_пациентов_взр_нас_с_травмой_живота_в_стац_условиях_пост_МЗ_2023_182.pdf,186153,2026-05-30T13:52:45Z,2023,yes,3,adult,Диагностика лечение пациентов взрослое население с травмой живота в стационарных условияхиях пост. МЗ 2023 182,S30.1|S30.7|S30.8|S30.9|S31.1|S31.7|S31.8|S36|S37.0|S37.1|S37.2|S39,12,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/anesteziologiya-reanimatologiya/КП_Диагностика_лечение_пациентов_взр_нас_с_ущемленной_грыжей_в_стац_условиях_пост_МЗ_2023_182.pdf,anesteziologiya-reanimatologiya,КП_Диагностика_лечение_пациентов_взр_нас_с_ущемленной_грыжей_в_стац_условиях_пост_МЗ_2023_182.pdf,177021,2026-05-30T13:52:46Z,2023,yes,2,adult,Диагностика лечение пациентов взрослое население с ущемленной грыжей в стационарных условияхиях пост. МЗ 2023 182,,0,index_csv,clinical_pending,Клинический КП (МКБ не извлечён из текста)
minzdrav_protocols/anesteziologiya-reanimatologiya/КП_Диагностика_лечение_профилактика_инфаркта_мозга_детс_нас_пост_МЗ_2024_127.pdf,anesteziologiya-reanimatologiya,КП_Диагностика_лечение_профилактика_инфаркта_мозга_детс_нас_пост_МЗ_2024_127.pdf,1629877,2026-05-30T13:52:46Z,2024,yes,2,pediatric,Диагностика лечение профилактика инфаркта мозга детское население пост. МЗ 2024 127,I63|I63.0|I63.1|I63.2|I63.3|I63.4|I63.5|I63.8|I63.9|I69.3,10,index_csv,clinical,Клинический КП (есть коды МКБ)
